樹種,区分,樹高(m),枝張(m),幹周(cm）,行政区,種別,整理番号,路線名,通称道路名,経度,緯度
カラタネオガタマ,中木,1.6,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6270231,35.74561073
ヤマボウシ,高木,4,1.5,30,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7114112,35.7240235
ハナモモ,中木,2.2,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6269915,35.74562336
ムクゲ,中木,2.2,,,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6763998,35.73298292
ハナモモ,中木,2.3,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6277013,35.74544944
カラタネオガタマ,中木,2,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6269502,35.74564503
カラタネオガタマ,中木,1.6,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6269382,35.74564981
トキワマンサク,中木,2.3,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6276733,35.74546213
ヒメリンゴ,中木,2,1,20,豊島区,主要地方道,317,環状六号線,山手通り,139.6965218,35.72784601
トキワマンサク,中木,2.1,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6276648,35.74546627
ボダイジュ,高木,3,1,27,豊島区,特例都道,435,音羽池袋線,,139.7240634,35.72080628
イヌツゲ,中木,1.4,,,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6570959,35.73793737
カクレミノ,中木,2.8,2.5,15,豊島区,特例都道,435,音羽池袋線,,139.723733,35.72089613
セイヨウシナノキ,高木,3.2,2,30,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7116086,35.72399673
トチノキ,高木,8,5,142,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6276323,35.74548261
トチノキ,高木,5,2.5,81,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6269012,35.74566992
イチョウ,高木,8.5,1.5,62,練馬区,特例都道,443,南田中町旭町線,笹目通り,139.6182014,35.74790238
サクラ,高木,7,5,90,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6763847,35.73301322
スズカケノキ,高木,6.5,4.5,95,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.626858,35.74569461
マンサク,中木,1.7,0.8,16,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.711594,35.7240177
サクラ,高木,11,8,170,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6765527,35.7329841
サクラ,高木,4.5,3,47,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6763382,35.73303933
カクレミノ,中木,2.8,2.5,15,豊島区,特例都道,435,音羽池袋線,,139.7237134,35.72092682
カラタネオガタマ,中木,1.9,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6268007,35.74572411
カラタネオガタマ,中木,1.7,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6267931,35.74572803
マンサク,中木,2.5,1,20,豊島区,主要地方道,317,環状六号線,山手通り,139.6965417,35.72788213
マンサク,中木,2.5,1,20,豊島区,主要地方道,317,環状六号線,山手通り,139.6965468,35.7278866
カツラ,高木,5.5,2,32,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6267795,35.74573986
セイヨウシナノキ,高木,3.3,1,30,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.711582,35.72404453
サクラ,高木,11,8,163,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6763189,35.73306465
カツラ,高木,6,2,56,豊島区,主要地方道,317,環状六号線,山手通り,139.6965492,35.72789174
シマトネリコ,高木,5,4,45,豊島区,主要地方道,317,環状六号線,山手通り,139.696464,35.72791553
カクレミノ,中木,2.8,2.5,15,豊島区,特例都道,435,音羽池袋線,,139.7236835,35.72095557
スズカケノキ,高木,8,4,97,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6267214,35.74576611
スズカケノキ,高木,8,4,97,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6267214,35.74576611
ボダイジュ,高木,3,1,45,豊島区,特例都道,435,音羽池袋線,,139.7240285,35.72087503
イチョウ,高木,9,1.5,66,練馬区,特例都道,443,南田中町旭町線,笹目通り,139.6182252,35.74795212
ヤマボウシ,高木,4,1.2,30,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7113704,35.72412267
トチノキ,高木,6.5,4,109,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.627382,35.74561469
カクレミノ,中木,2.8,2.5,15,豊島区,特例都道,435,音羽池袋線,,139.723698,35.72099137
サクラ,高木,12,14,206,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6762491,35.73312888
カツラ,高木,6.5,3,63,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6272938,35.74565831
アメリカハナズオウ,中木,2.2,1,50,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7115655,35.72409812
トウカエデ,高木,9,4.5,109,練馬区,主要地方道,318,環状七号線,環七通り,139.6639647,35.73627682
イチョウ,高木,8.5,1.5,92,練馬区,特例都道,443,南田中町旭町線,笹目通り,139.6178807,35.74807363
スズカケノキ,高木,7.5,3,100,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6265056,35.74587822
